,0,1,2,3,4,5,6,7
0,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
1,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
2,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
3,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
4,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
5,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
6,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
7,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
8,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
9,6.33,-0.03,2.86,6.7,6.4,3.6,6.97,5.67
10,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
11,0.61,-0.03,3.7,-0.13,-0.32,1.68,-1.06,0.99
12,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
13,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
14,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
15,1.6,-0.03,2.28,0.98,2.02,2.28,-0.59,0.93
16,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
17,-0.71,-0.03,1.26,0.78,1.22,-0.39,-0.7,0.83
18,0.61,-0.03,3.7,-0.13,-0.32,1.68,-1.06,0.99
19,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
20,2.56,-0.03,0.39,0.67,3.19,0.22,2.47,2.31
21,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
22,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
23,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
24,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
25,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
26,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
27,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
28,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
29,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
30,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
31,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
32,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
33,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
34,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
35,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
36,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
37,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
38,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
39,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
40,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
41,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
42,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
43,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
44,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
45,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
46,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
47,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
48,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
49,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
50,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
51,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
52,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
53,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
54,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
55,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
56,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
57,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
58,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
59,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
60,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
61,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
62,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
63,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
64,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
65,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
66,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
67,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
68,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
69,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
70,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
71,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
72,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
73,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
74,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
75,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
76,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
77,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
78,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
79,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
80,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
81,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
82,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
83,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
84,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
85,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
86,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
87,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
88,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
89,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
90,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
91,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
92,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
93,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
94,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
95,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
96,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
97,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
98,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
99,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
100,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
101,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
102,3.56,-0.03,2.52,6.31,3.96,2.85,4.3,3.27
103,2.76,-0.03,0.27,-0.13,2.01,0.81,3.29,2.46
104,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
105,0.66,-0.03,3.72,-0.13,-0.3,1.73,-1.06,1.05
106,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
107,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
108,0.8,-0.03,1.24,-0.13,-0.28,2.07,0.03,0.89
109,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
110,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
111,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
112,0.74,-0.03,1.19,-0.13,-0.32,2.0,-0.05,0.82
113,0.87,-0.03,2.61,-0.13,-0.54,2.42,-1.06,0.69
114,0.3,-0.03,1.3,-0.13,-0.29,1.32,-0.11,0.94
115,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
116,2.49,-0.03,0.38,0.64,3.15,0.2,2.39,2.25
117,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
118,-0.52,-0.03,-0.38,-0.13,-0.29,-0.42,-0.48,-0.53
119,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
120,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
121,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
122,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
123,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
124,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
125,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
126,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
127,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
128,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
129,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
130,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
131,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
132,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
133,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
134,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
135,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
136,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
137,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
138,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
139,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
140,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
141,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
142,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
143,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
144,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
145,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
146,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
147,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
148,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
149,-0.5,-0.03,-0.38,-0.13,-0.29,-0.42,-0.43,-0.52
150,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
151,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
152,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
153,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
154,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
155,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
156,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
157,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
158,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
159,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
160,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
161,-0.47,-0.03,-0.38,-0.13,-0.28,-0.42,-0.39,-0.5
162,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
163,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
164,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
165,-0.4,-0.03,-0.38,-0.13,-0.23,-0.42,-0.29,-0.44
166,-0.33,-0.03,-0.38,-0.13,-0.18,-0.42,-0.19,-0.35
167,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
168,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
169,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
170,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
171,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
172,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
173,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
174,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
175,-0.44,-0.03,-0.38,-0.13,-0.26,-0.42,-0.34,-0.48
